request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000 today. This leaves at least IDR 24,768,300 available over the next 90 days."
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670 today. This leaves at least ZAR 20,500 available over the next 90 days."
request_28,337.82,affordable_later,wait,2024-08-15:1302.4,2024-08-15,none,"Pay EUR 1,302.4 in full on 2024-08-15. Paying earlier would take the balance below the EUR 1,100 minimum."
request_29,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-11-23. None of the available options keeps the ZAR 28,300 minimum protected."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 06 April 2026. This leaves at least USD 900 available."
request_31,3109525.42,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,"Pay IDR 18,164,000 in full on 2024-11-15. Paying earlier would take the balance below the IDR 16,588,900 minimum."
request_32,12481.53,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-04-15. None of the available options keeps the ZAR 35,700 minimum protected."
request_33,40388,affordable_later,wait,2026-03-15:118000,2026-03-15,none,"Pay INR 118,000 in full on 2026-03-15. Paying earlier would take the balance below the INR 102,100 minimum."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400 today. This leaves at least INR 138,500 available over the next 90 days."
request_35,31505.58,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Pay INR 212,000 in full on 2026-01-15. Paying earlier would take the balance below the INR 106,400 minimum."
request_36,593.04,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-09-15. None of the available options keeps the USD 2,400 minimum protected."
request_37,4643446.02,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-05-15. None of the available options keeps the IDR 17,056,200 minimum protected."
request_38,188.16,affordable_later,wait,2025-10-15:971.3,2025-10-15,none,Pay EUR 971.3 in full on 2025-10-15. Paying earlier would take the balance below the EUR 400 minimum.
request_39,65129.64,affordable_later,wait,2026-06-15:208600,2026-06-15,none,"Pay INR 208,600 in full on 2026-06-15. Paying earlier would take the balance below the INR 213,400 minimum."
request_40,371.06,affordable_later,wait,2024-08-15:1290.3,2024-08-15,none,"Pay EUR 1,290.3 in full on 2024-08-15. Paying earlier would take the balance below the EUR 1,500 minimum."
request_41,9946187.33,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,"Pay IDR 38,760,000 in full on 2026-01-15. Paying earlier would take the balance below the IDR 25,366,600 minimum."
request_42,21454.53,affordable_later,wait,2026-03-15:52100,2026-03-15,none,"Pay INR 52,100 in full on 2026-03-15. Paying earlier would take the balance below the INR 113,100 minimum."
request_43,8641020.32,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,"Pay IDR 43,339,000 in full on 2024-11-15. Paying earlier would take the balance below the IDR 21,398,000 minimum."
request_44,28729.86,affordable_later,wait,2025-04-15:95800,2025-04-15,none,"Pay INR 95,800 in full on 2025-04-15. Paying earlier would take the balance below the INR 82,900 minimum."
request_45,4109523.66,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,"Pay IDR 21,983,000 in full on 2026-09-15. Paying earlier would take the balance below the IDR 11,149,800 minimum."
request_46,38175.06,affordable_with_plan,partial_payment,2024-12-03:38175.06|2024-12-15:11274.94,2024-12-15,none,"Pay INR 38,175.06 today and the remaining INR 11,274.94 on 2024-12-15. This completes the full request and keeps the INR 84,000 minimum protected."
request_47,9147826.88,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-06-19. None of the available options keeps the IDR 30,049,000 minimum protected."
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Pay INR 45,700 today. This leaves at least INR 71,300 available over the next 90 days."
request_49,12591497.2,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-04-15,none,"Use 3 installments of IDR 11,902,106.67, starting 18 March 2024. This leaves at least IDR 20,275,700 available."
request_50,28870.47,affordable_later,wait,2025-08-07:43900,2025-08-07,none,"Pay INR 43,900 in full on 2025-08-07. Paying earlier would take the balance below the INR 99,700 minimum."
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000 today. This leaves at least IDR 7,811,000 available over the next 90 days."
request_52,18204.28,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Pay INR 28,870 in full on 2024-06-15. Paying earlier would take the balance below the INR 41,500 minimum."
request_53,497.4,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,none,"Use 3 installments of USD 589.06, starting 21 November 2025. This leaves at least USD 2,100 available."
request_54,2345.63,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-08-21. None of the available options keeps the ZAR 37,000 minimum protected."
request_55,127356.29,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-15,none,"Use 3 installments of INR 75,781.33, starting 11 June 2026. This leaves at least INR 124,300 available."
request_56,629.04,affordable_with_plan,partial_payment,2025-02-03:629.04|2025-02-15:252.52,2025-02-15,none,"Pay USD 629.04 today and the remaining USD 252.52 on 2025-02-15. This completes the full request and keeps the USD 2,100 minimum protected."
